delito,x,y,porcentaje
1,-103.4045984,20.67103706,20
4,-103.2956379,20.69342039,80
4,-103.3472599,20.67435195,80
4,-103.3694387,20.68708537,80
3,-103.3347566,20.699314,60
1,-103.4234538,20.58478531,20
4,-103.4233262,20.65787602,80
4,-103.3640228,20.50148657,80
4,-103.3482854,20.67454994,80
2,-103.273895,20.65055706,40
3,-103.2772951,20.66046647,60
4,-103.321887,20.67811904,80
4,-103.3263385,20.63555719,80
3,-103.2927824,20.6463796,60
3,-103.2771004,20.68306079,60
4,-103.3525079,20.54686201,80
1,-103.4264718,20.66183428,20
4,-103.3990806,20.6507693,80
4,-103.4719467,20.63395899,80
3,-103.2859631,20.64137242,60
4,-103.2927824,20.6463796,80
1,-103.2676975,20.67901979,20
5,-103.3165112,20.63317293,100
1,-103.3754031,20.61207523,20
3,-103.2162455,20.66637311,60
3,-103.3602231,20.68294472,60
3,-103.2851708,20.68277392,60
1,-103.4243357,20.66886988,20
3,-103.3091907,20.66229702,60
3,-103.2932688,20.64195066,60
3,-103.3613953,20.64701825,60
3,-103.3612968,20.67860473,60
4,-103.2584706,20.6533579,80
3,-103.3431621,20.69456371,60
1,-103.3384202,20.6298157,20
4,-103.3773081,20.68445077,80
2,-103.3415483,20.68201301,40
1,-103.3666465,20.73561227,20
4,-103.3766882,20.68690089,80
1,-103.3215924,20.59066736,20
3,-103.3961585,20.67753664,60
2,-103.3801362,20.61920052,40
3,-103.3874951,20.65741789,60
1,-103.3460505,20.66709531,20
1,-103.3252706,20.7282065,20
4,-103.3204046,20.6268651,80
1,-103.3836307,20.58793398,20
3,-103.343587,20.68563666,60
4,-103.3059739,20.62895984,80
1,-103.2439628,20.59528022,20
4,-103.385829,20.58231769,80
3,-103.3368614,20.76363636,60
5,-103.2315155,20.67542765,100
4,-103.3130342,20.69669864,80
1,-103.3486756,20.66252774,20
4,-103.3752108,20.71229742,80
3,-103.2732752,20.63135491,60
1,-103.2383753,20.61819387,20
4,-103.346516,20.67519375,80
1,-103.4442385,20.63153449,20
1,-103.317853,20.62808231,20
1,-103.2752078,20.67267318,20
1,-103.3321415,20.58390419,20
1,-103.3705485,20.67142539,20
4,-103.3852578,20.73178631,80
3,-103.4152756,20.62343915,60
3,-103.2799706,20.68296138,60
1,-103.3607941,20.78680144,20
3,-103.3171151,20.67433491,60
2,-103.3526888,20.70076312,40
1,-103.2570862,20.62056057,20
3,-103.3813048,20.67558202,60
4,-103.3377028,20.6062426,80
1,-103.361193,20.73377183,20
4,-103.4549315,20.69575944,80
3,-103.2602649,20.62114362,60
4,-103.3473101,20.67518176,80
3,-103.4084188,20.73997859,60
3,-103.3859613,20.65934778,60
3,-103.374813,20.68916826,60
3,-103.2754545,20.60995956,60
1,-103.3384202,20.6298157,20
4,-103.4286519,20.68035461,80
3,-103.4487231,20.60563049,60
4,-103.3489476,20.59193334,80
1,-103.4133563,20.70570661,20
2,-103.4310288,20.66108988,40
1,-103.2728215,20.68927639,20
3,-103.4232579,20.65798379,60
3,-103.3830763,20.64173005,60
4,-103.3182646,20.65307924,80
4,-103.3883124,20.64482062,80
3,-103.3349154,20.72144955,60
3,-103.4237322,20.66224287,60
1,-103.3922045,20.66655614,20
2,-103.2556437,20.66963957,40
4,-103.3835935,20.66094781,80
4,-103.2895943,20.66279291,80
3,-103.3155485,20.65281969,60
2,-103.4388705,20.61477749,40
4,-103.3030555,20.62909378,80
3,-103.3670917,20.6856031,60
3,-103.3289333,20.63364968,60
3,-103.4333839,20.67009054,60
2,-103.422446,20.53098244,40
4,-103.3469624,20.56427266,80
2,-103.3974628,20.50193501,40
4,-103.3441344,20.61568956,80
4,-103.3603042,20.64930738,80
4,-103.3560572,20.65921813,80
4,-103.2612031,20.64750199,80
4,-103.3180464,20.61746127,80
2,-103.2933253,20.72388255,40
4,-103.3489204,20.67651044,80
3,-103.3534255,20.71481534,60
4,-103.3594114,20.67561226,80
4,-103.3768491,20.63030673,80
3,-103.3631723,20.67130593,60
4,-103.394224,20.55919159,80
3,-103.3552467,20.76598132,60
4,-103.2493315,20.65178095,80
3,-103.3138347,20.73481099,60
4,-103.3157095,20.65510256,80
5,-103.4744005,20.62653699,100
4,-103.3498576,20.67875457,80
4,-103.2843078,20.63496064,80
1,-103.3857272,20.6502907,20
4,-103.2999881,20.6703974,80
4,-103.3419324,20.76362215,80
3,-103.3962539,20.68457664,60
4,-103.3368456,20.67224545,80
1,-103.3714478,20.74635308,20
4,-103.3612602,20.64731985,80
1,-103.3809422,20.53014609,20
2,-103.3802938,20.71551598,40
4,-103.2943803,20.68858787,80
4,-103.4468486,20.63054821,80
3,-103.2769132,20.67175569,60
1,-103.4157981,20.73216968,20
4,-103.4316073,20.56007195,80
4,-103.3456751,20.6579357,80
4,-103.3756407,20.63185966,80
4,-103.3312666,20.65598913,80
3,-103.3448543,20.71714903,60
4,-103.3258784,20.65325761,80
4,-103.2893984,20.62850739,80
1,-103.3838367,20.66986196,20
4,-103.3663447,20.74046924,80
5,-103.3536178,20.61394589,100
4,-103.354839,20.6715182,80
4,-103.4057337,20.64685622,80
3,-103.3902669,20.69203796,60
4,-103.3643682,20.71887024,80
4,-103.3999488,20.67441083,80
4,-103.2449285,20.62904577,80
3,-103.3771896,20.69734117,60
4,-103.3766152,20.63885806,80
3,-103.34346,20.6830208,60
3,-103.2794565,20.68637113,60
4,-103.3802585,20.65742137,80
4,-103.4186422,20.63564707,80
3,-103.2563606,20.62698465,60
5,-103.3920798,20.53283077,100
4,-103.3545061,20.7154701,80
1,-103.2584304,20.65418544,20
3,-103.4094992,20.62436167,60
2,-103.4066938,20.59851191,40
4,-103.3716425,20.65319706,80
4,-103.349322,20.66390923,80
1,-103.3168703,20.60836252,20
1,-103.2428584,20.62299079,20
1,-103.3534216,20.6757293,20
5,-103.3828054,20.60069942,100
5,-103.3352148,20.65842828,100
3,-103.4213056,20.54167815,60
4,-103.2919648,20.6427146,80
3,-103.288898,20.61748218,60
